event_id,currency,pillar,indicator,reference_period,available_at_utc,value,unit,source_url
usd-average_hourly_earnings_yoy-2023-10,USD,labor,average_hourly_earnings_yoy,2023-10,2023-11-03T12:30:00Z,4.1,percent_yoy,https://www.bls.gov/news.release/archives/empsit_11032023.htm
gbp-regular_earnings_yoy-2023-07_to_2023-09,GBP,labor,regular_earnings_yoy,2023-07/2023-09,2023-11-14T07:00:00Z,7.7,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/november2023
usd-core_cpi_yoy-2023-10,USD,inflation,core_cpi_yoy,2023-10,2023-11-14T13:30:00Z,4.0,percent_yoy,https://www.bls.gov/news.release/archives/cpi_11142023.htm
usd-headline_cpi_yoy-2023-10,USD,inflation,headline_cpi_yoy,2023-10,2023-11-14T13:30:00Z,3.2,percent_yoy,https://www.bls.gov/news.release/archives/cpi_11142023.htm
gbp-core_cpi_yoy-2023-10,GBP,inflation,core_cpi_yoy,2023-10,2023-11-15T07:00:00Z,5.7,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/october2023
gbp-headline_cpi_yoy-2023-10,GBP,inflation,headline_cpi_yoy,2023-10,2023-11-15T07:00:00Z,4.6,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/october2023
usd-average_hourly_earnings_yoy-2023-11,USD,labor,average_hourly_earnings_yoy,2023-11,2023-12-08T13:30:00Z,4.0,percent_yoy,https://www.bls.gov/news.release/archives/empsit_12082023.htm
gbp-regular_earnings_yoy-2023-08_to_2023-10,GBP,labor,regular_earnings_yoy,2023-08/2023-10,2023-12-12T07:00:00Z,7.3,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/december2023
usd-core_cpi_yoy-2023-11,USD,inflation,core_cpi_yoy,2023-11,2023-12-12T13:30:00Z,4.0,percent_yoy,https://www.bls.gov/news.release/archives/cpi_12122023.htm
usd-headline_cpi_yoy-2023-11,USD,inflation,headline_cpi_yoy,2023-11,2023-12-12T13:30:00Z,3.1,percent_yoy,https://www.bls.gov/news.release/archives/cpi_12122023.htm
gbp-core_cpi_yoy-2023-11,GBP,inflation,core_cpi_yoy,2023-11,2023-12-20T07:00:00Z,5.1,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/november2023
gbp-headline_cpi_yoy-2023-11,GBP,inflation,headline_cpi_yoy,2023-11,2023-12-20T07:00:00Z,3.9,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/november2023
usd-average_hourly_earnings_yoy-2023-12,USD,labor,average_hourly_earnings_yoy,2023-12,2024-01-05T13:30:00Z,4.1,percent_yoy,https://www.bls.gov/news.release/archives/empsit_01052024.htm
usd-core_cpi_yoy-2023-12,USD,inflation,core_cpi_yoy,2023-12,2024-01-11T13:30:00Z,3.9,percent_yoy,https://www.bls.gov/news.release/archives/cpi_01112024.htm
usd-headline_cpi_yoy-2023-12,USD,inflation,headline_cpi_yoy,2023-12,2024-01-11T13:30:00Z,3.4,percent_yoy,https://www.bls.gov/news.release/archives/cpi_01112024.htm
gbp-regular_earnings_yoy-2023-09_to_2023-11,GBP,labor,regular_earnings_yoy,2023-09/2023-11,2024-01-16T07:00:00Z,6.6,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/january2024
gbp-core_cpi_yoy-2023-12,GBP,inflation,core_cpi_yoy,2023-12,2024-01-17T07:00:00Z,5.1,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/december2023
gbp-headline_cpi_yoy-2023-12,GBP,inflation,headline_cpi_yoy,2023-12,2024-01-17T07:00:00Z,4.0,percent_yoy,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/december2023
usd-average_hourly_earnings_yoy-2024-01,USD,labor,average_hourly_earnings_yoy,2024-01,2024-02-02T13:30:00Z,4.5,percent_yoy,https://www.bls.gov/news.release/archives/empsit_02022024.htm
gbp-regular_earnings_yoy-2023-10_to_2023-12,GBP,labor,regular_earnings_yoy,2023-10/2023-12,2024-02-13T07:00:00Z,6.2,percent_yoy,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/february2024
usd-core_cpi_yoy-2024-01,USD,inflation,core_cpi_yoy,2024-01,2024-02-13T13:30:00Z,3.9,percent_yoy,https://www.bls.gov/news.release/archives/cpi_02132024.htm
